without nodes during rollout,solved,number_of_steps,forward_model_calls,key_found,door_found,goal_found,total_nodes,frontier_nodes,time_elapsed,Average,Steps,FMC,Key,Door,Goal,Total,Frontier,,,,,,,,
Experiments/AgentConfig/mcgs_0.yaml1,TRUE,10,9837,24,58,197,516,399,0 days 00:01:51,,24.6,21305.2,23,118,430.6,1008,749.2,,,,,,,,
Experiments/AgentConfig/mcgs_0.yaml10,FALSE,49,36513,41,62,1080,1480,978,0 days 00:06:07,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_0.yaml80,TRUE,20,22414,26,233,343,1247,1030,0 days 00:04:17,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_0.yaml130,TRUE,21,17407,16,58,238,935,711,0 days 00:03:07,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_0.yaml2000,TRUE,23,20355,8,179,295,862,628,0 days 00:03:50,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_1.yaml1,TRUE,26,175395,9,14,52,456,174,0 days 00:16:05,,31.6,211746.6,16.4,151,209.4,538.6,202.6,,,,,,,,
Experiments/AgentConfig/mcgs_1.yaml10,TRUE,39,253685,26,66,200,640,230,0 days 00:22:30,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_1.yaml80,TRUE,46,303950,18,452,482,767,284,0 days 00:26:53,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_1.yaml130,TRUE,25,169220,17,48,109,430,162,0 days 00:14:55,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_1.yaml2000,TRUE,22,156483,12,175,204,400,163,0 days 00:13:49,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_2.yaml1,TRUE,14,190742,9,14,52,274,112,0 days 00:09:15,,27.4,357225.6,16.4,129.8,180.4,473.6,179.6,,,,,,,,
Experiments/AgentConfig/mcgs_2.yaml10,TRUE,27,374275,26,66,144,478,195,0 days 00:16:09,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_2.yaml80,TRUE,49,606808,18,389,422,800,283,0 days 00:26:51,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_2.yaml130,TRUE,26,320262,17,48,109,439,155,0 days 00:15:42,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_2.yaml2000,TRUE,21,294041,12,132,175,377,153,0 days 00:13:16,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml1,TRUE,13,254825,9,14,66,257,107,0 days 00:08:59,,22.4,422027.2,16.4,123.2,171.8,393.6,149.2,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml10,TRUE,28,484316,26,66,124,469,163,0 days 00:16:15,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml80,TRUE,29,569538,18,337,368,504,196,0 days 00:17:30,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml130,TRUE,24,437009,17,48,93,403,143,0 days 00:13:56,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml2000,TRUE,18,364448,12,151,208,335,137,0 days 00:11:59,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml1,TRUE,14,301151,9,14,69,211,57,0 days 00:07:38,,24.6,579645.6,16.4,100.6,168.2,413.6,148.2,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml10,TRUE,36,810342,26,66,135,569,189,0 days 00:20:35,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml80,TRUE,20,540310,18,200,236,389,169,0 days 00:13:59,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml130,TRUE,26,595744,17,48,146,439,157,0 days 00:15:43,Total avg,26.12,318390.04,17.72,124.52,232.08,565.48,285.76,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml2000,TRUE,27,650681,12,175,255,460,169,0 days 00:16:57,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
with nodes during rollout,solved,number_of_steps,forward_model_calls,key_found,door_found,goal_found,total_nodes,frontier_nodes,time_elapsed,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_0.yaml1,TRUE,10,0,24,58,197,516,399,00:01:45,,24.6,0,23,118,430.6,1008,749.2,,,,,,,,
Experiments/AgentConfig/mcgs_0.yaml10,FALSE,49,0,41,62,1080,1480,978,00:05:51,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_0.yaml80,TRUE,20,0,26,233,343,1247,1030,00:04:07,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_0.yaml130,TRUE,21,0,16,58,238,935,711,00:02:59,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_0.yaml2000,TRUE,23,0,8,179,295,862,628,00:03:41,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_1.yaml1,TRUE,10,0,9,59,318,1216,1092,00:01:46,,21.2,0,19.8,161,423.4,1400.4,1169,,,,,,,,
Experiments/AgentConfig/mcgs_1.yaml10,TRUE,27,0,19,198,458,1566,1277,00:02:22,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_1.yaml80,TRUE,20,0,42,219,510,1613,1390,00:02:23,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_1.yaml130,TRUE,22,0,18,47,124,940,705,00:01:38,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_1.yaml2000,TRUE,27,0,11,282,707,1667,1381,00:02:13,,24.2,0,20.4,225.2,600.6,2105.6,1832.8,,,,,,,,
Experiments/AgentConfig/mcgs_2.yaml1,TRUE,21,0,9,96,379,2212,1961,00:02:22,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_2.yaml10,TRUE,32,0,31,297,766,1872,1527,00:01:38,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_2.yaml80,TRUE,21,0,30,401,915,2224,1983,00:01:32,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_2.yaml130,TRUE,20,0,21,50,236,2553,2312,00:01:41,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_2.yaml2000,TRUE,11,0,12,62,643,1398,1262,00:00:56,,22.2,0,22.4,164,603,2288.8,2033.8,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml1,TRUE,22,0,9,66,390,2246,1983,00:01:41,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml10,TRUE,33,0,37,109,879,2869,2492,00:02:02,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml80,TRUE,21,0,33,516,751,3291,3049,00:02:40,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml130,TRUE,24,0,21,67,352,1640,1383,00:01:01,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_3.yaml2000,TRUE,19,0,18,584,1074,2443,2233,00:01:05,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml1,TRUE,14,0,9,118,380,2084,1916,00:00:55,,21.8,0,26,196.8,779.2,2862.2,2606.4,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml10,TRUE,25,0,36,168,370,2620,2325,00:01:18,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml80,TRUE,26,0,45,207,825,3484,3185,00:01:58,,,,,,,,,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml130,TRUE,26,0,21,30,498,3271,2957,00:01:34,Total avg,22.53333333,0,22.93333333,158.6,544.4,1756.866667,1508.2,,,,,,,,
Experiments/AgentConfig/mcgs_4.yaml2000,TRUE,18,0,19,461,1823,2852,2649,00:01:10,,,,,,,,,,,,,,,,
